,building,block,street,area,postcode,price,hold,bedrooms
100,Granelli House,,Alvechurch,Worcestershire,,550000,Freehold,4
101,Four Trees,,Long Sutton,Lincolnshire,,450000,Freehold,4
102,House I,,Streatham Common South,London,SW16,2500000,Freehold,5
103,,,Fentiman Road,London,SW8,2100000,Freehold,5
104,,,Pelham Road,London,SW19,1695000,Freehold,5
105,Gilcombe,,Bruton,Somerset,,1400000,Freehold,5
106,,,Meadow Road,London,SW8,1275000,Freehold,5
107,Scriven,,Knaresborough,North,Yorkshire,825000,Freehold,5
108,Elephant House,,Herne Bay,Kent,,545000,Freehold,5
109,Oakshott Court,,Polygon Road,London,NW1,490000,Leasehold,5
